model,pathway,reaction,flux,flux_as_written,orientation,biomass_flux,experimental_flux
ecBSU1,TCA,SUCOAS,10.179289581511046,-10.179289581511046,-1.0,0.5545565164493121,2.638
ecBSU1,TCA,SUCD1,1.32439206092279,1.32439206092279,1.0,0.5545565164493121,2.638
ecBSU1,TCA,FUM,1.6685892028875697,-1.6685892028875697,-1.0,0.5545565164493121,2.638
ecBSU1,TCA,MDH,1.6685892028875697,1.6685892028875697,1.0,0.5545565164493121,1.878
ecBSU1,TCA,PDH,12.80684179265892,12.80684179265892,1.0,0.5545565164493121,7.405
ecBSU1,TCA,PC,1.2328125943913084,1.2328125943913084,1.0,0.5545565164493121,3.504
ecBSU1,PPP,G6PDH2r,0.0,0.0,1.0,0.5545565164493121,3.297
ecBSU1,PPP,PGL,0.0,0.0,1.0,0.5545565164493121,3.297
ecBSU1,PPP,GND,0.0,0.0,1.0,0.5545565164493121,3.297
ecBSU1,PPP,RPI,0.2489379364124747,-0.2489379364124747,-1.0,0.5545565164493121,1.451
ecBSU1,PPP,RPE,-0.2489379364124747,-0.2489379364124747,1.0,0.5545565164493121,1.846
ecBSU1,PPP,TKT1,-0.014397980579310618,0.014397980579310618,-1.0,0.5545565164493121,1.055
ecBSU1,PPP,TALA,-0.014397980579310618,-0.014397980579310618,1.0,0.5545565164493121,1.055
ecBSU1,PPP,TKT2,-0.2345399558331641,0.2345399558331641,-1.0,0.5545565164493121,0.791
Submodel,EMP,GLCpts,7.291765898391117,7.291765898391117,1.0,0.6242116986510706,7.63
Submodel,EMP,PGI,7.073169458370309,7.073169458370309,1.0,0.6242116986510706,4.159
Submodel,EMP,PFK,6.6557553502121465,6.6557553502121465,1.0,0.6242116986510706,6.005
Submodel,EMP,FBA,6.6557553502121465,6.6557553502121465,1.0,0.6242116986510706,6.005
Submodel,EMP,TPI,6.27738069011102,6.27738069011102,1.0,0.6242116986510706,6.005
Submodel,EMP,GAPD,12.741883817973465,12.741883817973465,1.0,0.6242116986510706,11.577
Submodel,EMP,PGK,12.741883817973465,-12.741883817973465,-1.0,0.6242116986510706,11.577
Submodel,EMP,PGM,12.133959050963599,-12.133959050963599,-1.0,0.6242116986510706,11.577
Submodel,EMP,ENO,12.133959050963599,12.133959050963599,1.0,0.6242116986510706,11.577
Submodel,EMP,PYK,3.4359759041800366,3.4359759041800366,1.0,0.6242116986510706,3.944
Submodel,TCA,CS,5.943086099641954,5.943086099641954,1.0,0.6242116986510706,
Submodel,TCA,ACONT,5.943086099641954,5.943086099641954,1.0,0.6242116986510706,3.353
Submodel,TCA,ICDHyr,5.943086099641954,5.943086099641954,1.0,0.6242116986510706,3.353
Submodel,TCA,AKGDH,5.333339882895424,5.333339882895424,1.0,0.6242116986510706,2.638
Submodel,TCA,SUCOAS,5.025614127059323,-5.025614127059323,-1.0,0.6242116986510706,2.638
Submodel,TCA,SUCD1,5.333339882895424,5.333339882895424,1.0,0.6242116986510706,2.638
Submodel,TCA,FUM,5.681529537884878,5.681529537884878,1.0,0.6242116986510706,2.638
Submodel,TCA,MDH,5.681529537884878,5.681529537884878,1.0,0.6242116986510706,1.878
Submodel,TCA,PDH,8.225589208528337,8.225589208528337,1.0,0.6242116986510706,7.405
Submodel,TCA,PC,1.5720933925568856,1.5720933925568856,1.0,0.6242116986510706,3.504
Submodel,PPP,G6PDH2r,0.061535413464719,0.061535413464719,1.0,0.6242116986510706,3.297
Submodel,PPP,PGL,0.061535413464719,0.061535413464719,1.0,0.6242116986510706,3.297
Submodel,PPP,GND,0.061535413464719,0.061535413464719,1.0,0.6242116986510706,3.297
Submodel,PPP,RPI,0.27484852566814666,-0.27484852566814666,-1.0,0.6242116986510706,1.451
Submodel,PPP,RPE,-0.21331311220342766,-0.21331311220342766,1.0,0.6242116986510706,1.846
Submodel,PPP,TKT1,0.0,0.0,1.0,0.6242116986510706,1.055
Submodel,PPP,TALA,0.0,0.0,1.0,0.6242116986510706,1.055
Submodel,PPP,TKT2,-0.21331311220342766,-0.21331311220342766,1.0,0.6242116986510706,0.791
