Model,Glucose_uptake,Oxygen_uptake,Growth_rate
iYO844,4.125,16.5,0.3338671395916961
iYO844,4.125,17.25,0.3338671395916961
iYO844,4.125,18.0,0.3338671395916961
iYO844,4.125,18.75,0.3338671395916961
iYO844,4.125,19.5,0.3338671395916961
iYO844,4.125,20.25,0.3338671395916961
iYO844,4.125,21.0,0.3338671395916961
iYO844,4.125,21.75,0.3338671395916961
iYO844,4.125,22.5,0.3338671395916961
iYO844,4.125,23.25,0.3338671395916961
iYO844,4.125,24.0,0.3338671395916961
iYO844,4.125,24.75,0.3338671395916961
iYO844,4.125,25.5,0.3338671395916961
iYO844,4.125,26.25,0.3338671395916961
iYO844,4.125,27.0,0.3338671395916961
iYO844,4.125,27.75,0.3338671395916961
iYO844,4.125,28.5,0.3338671395916961
iYO844,4.125,29.25,0.3338671395916961
iYO844,4.125,30.0,0.3338671395916961
iYO844,4.5,0.0,0.0
iYO844,4.5,0.75,0.02505833054983251
iYO844,4.5,1.5,0.05011666109966472
iYO844,4.5,2.25,0.07517499164949702
iYO844,4.5,3.0,0.10023332219932939
iYO844,4.5,3.75,0.12529165274916174
iYO844,4.5,4.5,0.15034998329899404
iYO844,4.5,5.25,0.1754083138488264
iYO844,4.5,6.0,0.20046664439865872
iYO844,4.5,6.75,0.2254717444928769
iYO844,4.5,7.5,0.24297411735305488
iYO844,4.5,8.25,0.2604764902132328
iYO844,4.5,9.0,0.27786462548136176
iYO844,4.5,9.75,0.2945879594223697
iYO844,4.5,10.5,0.31131129336337754
iYO844,4.5,11.25,0.3280346273043854
iYO844,4.5,12.0,0.3447579612453933
iYO844,4.5,12.75,0.36148129518640126
iYO844,4.5,13.5,0.3672538535508649
iYO844,4.5,14.25,0.3672538535508656
iYO844,4.5,15.0,0.3672538535508656
iYO844,4.5,15.75,0.3672538535508656
iYO844,4.5,16.5,0.3672538535508656
iYO844,4.5,17.25,0.3672538535508656
iYO844,4.5,18.0,0.3672538535508656
iYO844,4.5,18.75,0.3672538535508656
iYO844,4.5,19.5,0.3672538535508656
iYO844,4.5,20.25,0.3672538535508656
iYO844,4.5,21.0,0.3672538535508656
iYO844,4.5,21.75,0.3672538535508656
iYO844,4.5,22.5,0.3672538535508656
iYO844,4.5,23.25,0.3672538535508656
iYO844,4.5,24.0,0.3672538535508656
iYO844,4.5,24.75,0.3672538535508656
iYO844,4.5,25.5,0.3672538535508656
iYO844,4.5,26.25,0.3672538535508656
iYO844,4.5,27.0,0.3672538535508656
iYO844,4.5,27.75,0.3672538535508656
iYO844,4.5,28.5,0.3672538535508656
iYO844,4.5,29.25,0.3672538535508656
iYO844,4.5,30.0,0.3672538535508656
iYO844,4.875,0.0,0.0
iYO844,4.875,0.75,0.03062684844979514
iYO844,4.875,1.5,0.055685178999627376
iYO844,4.875,2.25,0.08074350954945968
iYO844,4.875,3.0,0.10580184009929204
iYO844,4.875,3.75,0.1308601706491244
iYO844,4.875,4.5,0.1559185011989567
iYO844,4.875,5.25,0.18097683174878906
iYO844,4.875,6.0,0.20603516229862134
iYO844,4.875,6.75,0.2310934928484537
iYO844,4.875,7.5,0.2537844064725763
iYO844,4.875,8.25,0.2712867793327537
iYO844,4.875,9.0,0.28878915219293105
iYO844,4.875,9.75,0.30616565215075914
iYO844,4.875,10.5,0.32288898609176697
iYO844,4.875,11.25,0.3396123200327748
iYO844,4.875,12.0,0.35633565397378275
iYO844,4.875,12.75,0.3730589879147907
iYO844,4.875,13.5,0.3897823218557986
iYO844,4.875,14.25,0.40064056751003513
iYO844,4.875,15.0,0.40064056751003513
iYO844,4.875,15.75,0.40064056751003513
